% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1013	1	1	1	2	0	22	2769	0	1	1	0
1013	1	1	1	2	0	22	2769	0	1	1	0
1013	1	1	1	2	0	22	2769	0	1	1	0
1013	1	1	1	2	1	22	2769	0	1	1	0
1013	1	1	1	2	1	22	2769	0	1	1	0
1013	1	1	1	2	1	22	2769	0	1	1	0
1014	1	1	1	2	0	22	2769	0	1	1	0
1014	1	1	1	2	0	22	2769	0	1	1	0
1014	1	1	1	2	0	22	2769	0	1	1	0
1014	1	1	1	2	1	22	2769	0	1	1	0
1014	1	1	1	2	1	22	2769	0	1	1	0
1014	1	1	1	2	1	22	2769	0	1	1	0
1015	1	1	1	2	0	22	2769	0	1	1	0
1015	1	1	1	2	0	22	2769	0	1	1	0
1015	1	1	1	2	0	22	2769	0	1	1	0
1015	1	1	1	2	1	22	2769	0	1	1	0
1015	1	1	1	2	1	22	2769	0	1	1	0
1015	1	1	1	2	1	22	2769	0	1	1	0
1016	1	1	1	2	0	22	2769	0	1	1	0
1016	1	1	1	2	0	22	2769	0	1	1	0
1016	1	1	1	2	0	22	2769	0	1	1	0
1016	1	1	1	2	1	22	2769	0	1	1	0
1016	1	1	1	2	1	22	2769	0	1	1	0
1016	1	1	1	2	1	22	2769	0	1	1	0
1017	1	1	1	2	0	22	2769	0	1	1	0
1017	1	1	1	2	0	22	2769	0	1	1	0
1017	1	1	1	2	0	22	2769	0	1	1	0
1017	1	1	1	2	1	22	2769	0	1	1	0
1017	1	1	1	2	1	22	2769	0	1	1	0
1017	1	1	1	2	1	22	2769	0	1	1	0
1018	1	1	1	2	0	22	2769	0	1	1	0
1018	1	1	1	2	0	22	2769	0	1	1	0
1018	1	1	1	2	0	22	2769	0	1	1	0
1018	1	1	1	2	1	22	2769	0	1	1	0
1018	1	1	1	2	1	22	2769	0	1	1	0
1018	1	1	1	2	1	22	2769	0	1	1	0
1019	1	1	1	2	0	22	2769	0	1	1	0
1019	1	1	1	2	0	22	2769	0	1	1	0
1019	1	1	1	2	0	22	2769	0	1	1	0
1019	1	1	1	2	1	22	2769	0	1	1	0
1019	1	1	1	2	1	22	2769	0	1	1	0
1019	1	1	1	2	1	22	2769	0	1	1	0
1020	1	1	1	2	0	22	2769	0	1	1	0
1020	1	1	1	2	0	22	2769	0	1	1	0
1020	1	1	1	2	0	22	2769	0	1	1	0
1020	1	1	1	2	1	22	2769	0	1	1	0
1020	1	1	1	2	1	22	2769	0	1	1	0
1020	1	1	1	2	1	22	2769	0	1	1	0
1021	1	1	1	2	0	22	2769	0	1	1	0
1021	1	1	1	2	0	22	2769	0	1	1	0
1021	1	1	1	2	0	22	2769	0	1	1	0
1021	1	1	1	2	1	22	2769	0	1	1	0
1021	1	1	1	2	1	22	2769	0	1	1	0
1021	1	1	1	2	1	22	2769	0	1	1	0
1022	1	1	1	2	0	22	2769	0	1	1	0
1022	1	1	1	2	0	22	2769	0	1	1	0
1022	1	1	1	2	0	22	2769	0	1	1	0
1022	1	1	1	2	1	22	2769	0	1	1	0
1022	1	1	1	2	1	22	2769	0	1	1	0
1022	1	1	1	2	1	22	2769	0	1	1	0
1023	1	1	1	2	0	22	2769	0	1	1	0
1023	1	1	1	2	0	22	2769	0	1	1	0
1023	1	1	1	2	0	22	2769	0	1	1	0
1023	1	1	1	2	1	22	2769	0	1	1	0
1023	1	1	1	2	1	22	2769	0	1	1	0
1023	1	1	1	2	1	22	2769	0	1	1	0
1024	1	1	1	2	0	22	2769	0	1	1	0
1024	1	1	1	2	0	22	2769	0	1	1	0
1024	1	1	1	2	0	22	2769	0	1	1	0
1024	1	1	1	2	1	22	2769	0	1	1	0
1024	1	1	1	2	1	22	2769	0	1	1	0
1024	1	1	1	2	1	22	2769	0	1	1	0
1025	1	1	1	2	0	22	2769	0	1	1	0
1025	1	1	1	2	0	22	2769	0	1	1	0
1025	1	1	1	2	0	22	2769	0	1	1	0
1025	1	1	1	2	1	22	2769	0	1	1	0
