% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.046	1	1	105	7	1	22	2769	22	2769	0
1.046	1	1	105	7	1	22	2769	22	2769	0
1.046	1	1	105	7	1	22	2769	22	2769	0
1.047	1	1	105	8	1	22	2769	22	2769	0
1.047	1	1	105	8	1	22	2769	22	2769	0
1.047	1	1	105	8	1	22	2769	22	2769	0
1.048	1	1	105	9	1	22	2769	22	2769	0
1.048	1	1	105	9	1	22	2769	22	2769	0
1.048	1	1	105	9	1	22	2769	22	2769	0
1.049	1	1	105	10	1	22	2769	22	2769	0
1.049	1	1	105	10	1	22	2769	22	2769	0
1.049	1	1	105	10	1	22	2769	22	2769	0
1.05	1	1	106	1	1	22	2769	22	2769	0
1.05	1	1	106	1	1	22	2769	22	2769	0
1.05	1	1	106	1	1	22	2769	22	2769	0
1.051	1	1	106	2	1	22	2769	22	2769	0
1.051	1	1	106	2	1	22	2769	22	2769	0
1.051	1	1	106	2	1	22	2769	22	2769	0
1.052	1	1	106	3	1	22	2769	22	2769	0
1.052	1	1	106	3	1	22	2769	22	2769	0
1.052	1	1	106	3	1	22	2769	22	2769	0
1.053	1	1	106	4	1	22	2769	22	2769	0
1.053	1	1	106	4	1	22	2769	22	2769	0
1.053	1	1	106	4	1	22	2769	22	2769	0
1.054	1	1	106	5	1	22	2769	22	2769	0
1.054	1	1	106	5	1	22	2769	22	2769	0
1.054	1	1	106	5	1	22	2769	22	2769	0
1.055	1	1	106	6	1	22	2769	22	2769	0
1.055	1	1	106	6	1	22	2769	22	2769	0
1.055	1	1	106	6	1	22	2769	22	2769	0
1.056	1	1	106	7	1	22	2769	22	2769	0
1.056	1	1	106	7	1	22	2769	22	2769	0
1.056	1	1	106	7	1	22	2769	22	2769	0
1.057	1	1	106	8	1	22	2769	22	2769	0
1.057	1	1	106	8	1	22	2769	22	2769	0
1.057	1	1	106	8	1	22	2769	22	2769	0
1.058	1	1	106	9	1	22	2769	22	2769	0
1.058	1	1	106	9	1	22	2769	22	2769	0
1.058	1	1	106	9	1	22	2769	22	2769	0
1.059	1	1	106	10	1	22	2769	22	2769	0
1.059	1	1	106	10	1	22	2769	22	2769	0
1.059	1	1	106	10	1	22	2769	22	2769	0
1.06	1	1	107	1	1	22	2769	22	2769	0
1.06	1	1	107	1	1	22	2769	22	2769	0
1.06	1	1	107	1	1	22	2769	22	2769	0
1.061	1	1	107	2	1	22	2769	22	2769	0
1.061	1	1	107	2	1	22	2769	22	2769	0
1.061	1	1	107	2	1	22	2769	22	2769	0
1.062	1	1	107	3	1	22	2769	22	2769	0
1.062	1	1	107	3	1	22	2769	22	2769	0
1.062	1	1	107	3	1	22	2769	22	2769	0
1.063	1	1	107	4	1	22	2769	22	2769	0
1.063	1	1	107	4	1	22	2769	22	2769	0
1.063	1	1	107	4	1	22	2769	22	2769	0
1.064	1	1	107	5	1	22	2769	22	2769	0
1.064	1	1	107	5	1	22	2769	22	2769	0
1.064	1	1	107	5	1	22	2769	22	2769	0
1.065	1	1	107	6	1	22	2769	22	2769	0
1.065	1	1	107	6	1	22	2769	22	2769	0
1.065	1	1	107	6	1	22	2769	22	2769	0
1.066	1	1	107	7	1	22	2769	22	2769	0
1.066	1	1	107	7	1	22	2769	22	2769	0
